zoneId;Attractivity:Business;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Private_Business;Attractivity:Private_Visit;Attractivity:Service;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Shopping;Attractivity:Work;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Sightseeing
1;0;112,05;0;0;0;0;0;0;0;1;0;0;0;50
2;14513;7192,23;0;1861,48;20;0,38;1699,33;9392,84;11092,17;14513;0;0;0;960
3;5018;2215,55;0;1343;7;0,13;2712,06;34410,68;37122,74;5018;0;0;0;20
4;1878;1465,56;0;623,4;3;140,06;150;22114,23;22264,23;1878;0;0;0;330
5;16443;5172,06;313,82;3784;76;1,44;6321,57;36480,48;42802,05;16443;0;0;553;320
6;6592;2193,38;92,52;1186,2;85;1,62;2862,06;4919,89;7781,95;6592;0;0;845;800
7;14634;6668,62;0;1924,56;31;0,59;2007,32;14949,89;16957,21;14634;0;0;0;8070
8;5754;2137,22;0;418,8;177;3,36;244,59;3984,4;4228,99;5754;0;0;39;160
9;6780;2590,46;215,5;239,23;1339;25,44;150;3351,11;3501,11;6780;0;0;0;110
10;6814;2041,47;83,35;474;282;291,97;2483,88;6807,06;9290,94;6814;0;0;0;110
11;802;1360,14;0;0;0;0;0;429,15;429,15;802;0;0;0;600
12;7479;2480,49;0;174,78;345;6,56;1012,73;11666,84;12679,57;7479;0;0;0;370
13;7582;1481,21;0;139,56;1;0,02;0;63;63;7582;0;0;0;990
14;4551;2018,14;0;10;29;0,55;0;286,63;286,63;4551;0;0;0;5460
15;1392;951,54;0;390;2;0,04;0;0;0;1392;0;0;0;10
16;4387;1329,68;163,64;69,78;526;239,33;600;2521,88;3121,88;4387;324;0;202;430
17;220;0;883,38;0;39;115,74;0;0;0;220;0;0;0;0
18;1803;1143,06;149,32;1389;663;12,6;4111,39;8019,41;12130,8;1803;0;0;0;30
19;5014;286,97;0;422;60;1,14;300;0;300;5014;0;0;0;0
20;1630;174,92;122,1;42;52;0,99;712,73;0;712,73;1630;0;0;0;200
21;5470;32098,71;4,45;388;1118;21,24;300;4678,94;4978,94;5470;0;0;1469;10810
22;2;0;0;0;0;0;0;0;0;2;0;0;0;20
23;106;245,32;0;0;0;0;0;308,2;308,2;106;0;0;0;30
24;3293;1994,71;5,54;82,55;373;7,09;0;846,89;846,89;3293;0;0;0;910
25;1143;590,59;1615,92;10;741;689,08;244,59;676,66;921,25;1143;0;0;0;820
26;227;174,92;133,61;69,78;58;1,1;0;0;0;227;0;0;2496;0
27;0;0;0;0;0;0;0;0;0;1;0;0;0;1030
28;0;0;20,8;0;684;24,58;0;0;0;1;0;0;0;40
29;6;0;985,32;0;0;16,18;0;0;0;6;0;0;0;60
30;48;112,05;151,27;0;361;6,86;0;397,8;397,8;48;0;0;0;0
31;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;29;165,87;1065,96;195;3;115,06;150;0;150;29;0;0;0;60
33;785;168,7;5291,34;341,16;117;282,22;0;65,6;65,6;785;0;0;2819;2060
34;19;1189,83;2760,06;69,78;0;129,16;0;0;0;19;0;0;16;650
35;1081;325,54;5627,4;69,78;3;9,86;17250;0;17250;1081;0;0;0;20
36;5877;3631,43;36,4;532;427;148,11;394,59;3903,68;4298,27;5877;0;0;0;100
37;13788;2328,54;627,63;1936,78;188;3,57;562,73;21700,09;22262,82;13788;0;0;260;0
38;16529;7678,67;713,97;2544,11;296;292,24;7248,62;59340,26;66588,88;16529;0;0;1280;10
39;164;993,92;0;0;0;115;0;66,68;66,68;164;0;0;0;8170
40;6244;5706,28;339,23;527,78;3224;426,03;7581,88;5141,52;12723,4;6244;331;1074;121;1220
41;2859;3745,13;695,77;989,85;2564;210,94;2449,33;11424,92;13874,25;2859;0;500;0;50
42;4126;3123,62;86,72;563,78;1903,45;122,83;712,73;3911,71;4624,44;4126;0;0;0;50
43;10541;1960,05;1,66;1381;149;2,83;450;53759,79;54209,79;10541;0;0;0;300
44;2059;849,88;214,61;26;2039;38,74;0;1147,44;1147,44;2059;0;0;0;0
45;971;1404,61;150,82;179,15;1755;33,34;0;1207,71;1207,71;971;0;0;0;4180
46;2453;5224,79;331,96;331,05;2048;38,91;1699,33;4655,47;6354,8;2453;0;0;0;300
47;5297;561,28;67,46;266;228;284,33;2183,88;710,39;2894,27;5297;0;0;0;50
48;105;448,22;0;195;0;0;0;0;0;105;0;0;0;10400
49;3070;1650,41;0;0;154;142,93;1849,33;4746,48;6595,81;3070;0;0;0;50
50;1451;3135,63;1233,38;730;4259;377,46;3610,03;9031,67;12641,7;1451;0;0;0;0
51;537;1068,13;26335,59;278,2;52;182,79;150;211,24;361,24;537;0;1035;94;3200
53;1835;2006,48;735,34;366,9;3262;357,06;394,59;3192,43;3587,02;1835;0;138;0;0
54;661;1672,45;647,39;619,75;12;1026,29;8614,86;1655,68;10270,54;661;0;1637;0;10310
55;389;2128,01;355,6;85,55;3628;208,93;2338,52;3550,54;5889,06;389;0;0;0;40
56;1600;2303,1;532,2;1045;3578;348,64;3935,02;5273,94;9208,96;1600;0;0;0;0
57;3918;6520,21;2,4;1154,45;2662;200,18;5084,33;2264,87;7349,2;3918;0;0;33;50920
58;673;2954,21;386,79;511;2690;122,89;2488,52;1121,97;3610,49;673;206;281;0;330
59;9162;11028,07;416,78;1522,78;2794;193,09;3387,91;2772,84;6160,75;9162;0;0;10;50420
60;95;363,53;1909,66;0;0;0;0;0;0;95;0;0;0;50
61;5840;2145,05;426,87;806,2;2145;184,66;0;2373,08;2373,08;5840;0;0;0;0
62;3871;7034,43;0;2926,98;13;230,25;3756,35;3660,3;7416,65;3871;0;0;32;420
63;4290;2754,67;490,8;674;1731;276,21;4805,99;5528,38;10334,37;4290;370;8;0;30
64;4032;4531,07;1741,95;1543,8;3018;414,48;3351,24;5378,16;8729,4;4032;38;1452;0;20
65;12110;807,9;634,16;864,11;3395,1;187,26;450;56;506;12110;0;2173;8215;10
66;3816;5419,39;0;699,5;1489;28,29;2938,52;1767,69;4706,21;3816;0;0;0;0
67;5967;2520,81;424,21;1274,7;2224;182,26;7846,73;3202,44;11049,17;5967;0;0;0;0
68;9391;1186,61;674,98;3578,78;454;271,16;4500,68;2180,73;6681,41;9391;285;1011;0;320
69;1732;112,05;0;0;7;0,13;150;3259,48;3409,48;1732;0;0;0;0
70;4000;719,3;0;279,11;1033;19,63;0;935,22;935,22;4000;0;0;0;610
71;5519;1227,74;0;279,75;1434;27,25;150;2656,69;2806,69;5519;0;0;0;0
72;1353;2169,52;202,1;0;33;0,63;0;1500,75;1500,75;1353;0;0;0;300
73;1170;113,16;0;0;692;153,15;0;0;0;1170;0;0;0;0
74;17970;1675,93;712,88;519,75;320;330,06;450;5590,24;6040,24;17970;0;0;0;0
75;10791;572,13;10,64;245;710;336,03;150;2038,68;2188,68;10791;0;0;0;0
76;16899;1788,43;395,86;540;31;785,45;750;1846,85;2596,85;16899;256;259;0;0
77;4460;548,63;123,62;119,78;185;287,83;0;14203,77;14203,77;4460;0;1952;0;0
