origin;destination;commuters
1;1;3000
1;2;3000
1;3;3000
1;4;3000
1;5;3000
1;6;3000
1;10;0
1;10;0
1;9;3000
1;10;0
1;11;3000
1;12;3000
1;13;3000
1;14;3000
1;15;3000
1;16;3000
1;17;3000
1;18;3000
2;1;3000
2;2;3000
2;3;3000
2;4;3000
2;5;3000
2;6;3000
2;10;0
2;10;0
2;9;3000
2;10;0
2;11;3000
2;12;3000
2;13;3000
2;14;3000
2;15;3000
2;16;3000
2;17;3000
2;18;3000
3;1;3000
3;2;3000
3;3;3000
3;4;3000
3;5;3000
3;6;3000
3;10;0
3;10;0
3;9;3000
3;10;0
3;11;3000
3;12;3000
3;13;3000
3;14;3000
3;15;3000
3;16;3000
3;17;3000
3;18;3000
4;1;3000
4;2;3000
4;3;3000
4;4;3000
4;5;3000
4;6;3000
4;10;0
4;10;0
4;9;3000
4;10;0
4;11;3000
4;12;3000
4;13;3000
4;14;3000
4;15;3000
4;16;3000
4;17;3000
4;18;3000
5;1;3000
5;2;3000
5;3;3000
5;4;3000
5;5;3000
5;6;3000
5;10;0
5;10;0
5;9;3000
5;10;0
5;11;3000
5;12;3000
5;13;3000
5;14;3000
5;15;3000
5;16;3000
5;17;3000
5;18;3000
6;1;3000
6;2;3000
6;3;3000
6;4;3000
6;5;3000
6;6;3000
6;10;0
6;10;0
6;9;3000
6;10;0
6;11;3000
6;12;3000
6;13;3000
6;14;3000
6;15;3000
6;16;3000
6;17;3000
6;18;3000
7;1;3000
7;2;3000
7;3;3000
7;4;3000
7;5;3000
7;6;3000
7;10;0
7;10;0
7;9;3000
7;10;0
7;11;3000
7;12;3000
7;13;3000
7;14;3000
7;15;3000
7;16;3000
7;17;3000
7;18;3000
8;1;3000
8;2;3000
8;3;3000
8;4;3000
8;5;3000
8;6;3000
8;10;0
8;10;0
8;9;3000
8;10;0
8;11;3000
8;12;3000
8;13;3000
8;14;3000
8;15;3000
8;16;3000
8;17;3000
8;18;3000
9;1;3000
9;2;3000
9;3;3000
9;4;3000
9;5;3000
9;6;3000
9;10;0
9;10;0
9;9;3000
9;10;0
9;11;3000
9;12;3000
9;13;3000
9;14;3000
9;15;3000
9;16;3000
9;17;3000
9;18;3000
10;1;3000
10;2;3000
10;3;3000
10;4;3000
10;5;3000
10;6;3000
10;10;0
10;10;0
10;9;3000
10;10;0
10;11;3000
10;12;3000
10;13;3000
10;14;3000
10;15;3000
10;16;3000
10;17;3000
10;18;3000
11;1;3000
11;2;3000
11;3;3000
11;4;3000
11;5;3000
11;6;3000
11;10;0
11;10;0
11;9;3000
11;10;0
11;11;3000
11;12;3000
11;13;3000
11;14;3000
11;15;3000
11;16;3000
11;17;3000
11;18;3000
12;1;3000
12;2;3000
12;3;3000
12;4;3000
12;5;3000
12;6;3000
12;10;0
12;10;0
12;9;3000
12;10;0
12;11;3000
12;12;3000
12;13;3000
12;14;3000
12;15;3000
12;16;3000
12;17;3000
12;18;3000
13;1;3000
13;2;3000
13;3;3000
13;4;3000
13;5;3000
13;6;3000
13;10;0
13;10;0
13;9;3000
13;10;0
13;11;3000
13;12;3000
13;13;3000
13;14;3000
13;15;3000
13;16;3000
13;17;3000
13;18;3000
14;1;3000
14;2;3000
14;3;3000
14;4;3000
14;5;3000
14;6;3000
14;10;0
14;10;0
14;9;3000
14;10;0
14;11;3000
14;12;3000
14;13;3000
14;14;3000
14;15;3000
14;16;3000
14;17;3000
14;18;3000
15;1;3000
15;2;3000
15;3;3000
15;4;3000
15;5;3000
15;6;3000
15;10;0
15;10;0
15;9;3000
15;10;0
15;11;3000
15;12;3000
15;13;3000
15;14;3000
15;15;3000
15;16;3000
15;17;3000
15;18;3000
16;1;3000
16;2;3000
16;3;3000
16;4;3000
16;5;3000
16;6;3000
16;10;0
16;10;0
16;9;3000
16;10;0
16;11;3000
16;12;3000
16;13;3000
16;14;3000
16;15;3000
16;16;3000
16;17;3000
16;18;3000
17;1;3000
17;2;3000
17;3;3000
17;4;3000
17;5;3000
17;6;3000
17;10;0
17;10;0
17;9;3000
17;10;0
17;11;3000
17;12;3000
17;13;3000
17;14;3000
17;15;3000
17;16;3000
17;17;3000
17;18;3000
18;1;3000
18;2;3000
18;3;3000
18;4;3000
18;5;3000
18;6;3000
18;10;0
18;10;0
18;9;3000
18;10;0
18;11;3000
18;12;3000
18;13;3000
18;14;3000
18;15;3000
18;16;3000
18;17;3000
18;18;3000
